Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
390.0,"[[-74.60937664 -96.42911103 -17.38455274  66.16625976 -50.48915055
   -4.39865717 -44.09696486  66.57838676 -26.53995923 -90.52224983
   25.13241491  -0.73562725  98.5879467   73.69751317  68.76307643
    2.76556102 -94.16176511 -79.3959983  -42.45577811  55.86929669
  -79.03666089 -76.59007983 -91.71458086  -9.10379385 -11.00920023
  -31.04634176  59.69558521  59.48139841 -20.91269728 -88.85758796
  -94.5745497   37.16463822  68.77350474 -83.86700667 -27.47287997
   30.95833322  40.15670356  81.41748485 -34.06218431 -83.48488501
   31.979678   -60.99633869  20.72437167 -73.08743086  45.96246891
  -35.26907788  17.11465514  54.82598709   3.63889415 -34.17810814]]",1.0,0.0
390.0,"[[-78.57012162  47.85873004 -76.76572765  39.74173333  78.98340653
   11.89819785  80.9789114   53.3115807  -25.96848214  83.80693637
  -78.81593926  48.24373128  51.71649746  24.57359089 -98.83964104
   24.84884743 -12.89990403 -86.16076802 -28.93851885 -96.69717001
  -52.51993806  99.67526733  -8.44631443   4.39326281 -92.07250489
  -68.07503129 -68.37537427 -81.40033586 -26.34926276  59.72899539
    5.36181619  82.61940661 -39.69572281  23.8256837  -97.29865072
   66.84588325   1.81660333  59.29484099  57.07087387  -1.81181763
  -25.89436623 -41.72908671  87.17398223  38.75992803   6.54489455
  -46.94394874 -81.42340343 -34.81240245  53.88282723 -68.4599524 ]]",1.0,0.0
390.0,"[[-28.88916116 -31.53960727 -90.11258865 -65.6399669   72.30467068
  -22.89751991 -82.31436196  35.80503568 -62.9979406  -38.29523277
  -43.52318622 -70.01396696  95.216751    94.19347353 -11.29392025
   -3.89552442  77.15588393  71.16095681 -25.6035197   38.89222435
   -8.92493968 -54.25877671  71.97431765 -85.42006278  82.07375436
   40.59177507   4.04219321 -13.26397811  31.57677275 -11.16119292
   84.09279682 -57.43931574 -89.36271736 -87.09727946 -18.82835931
   32.80209034 -89.5430761  -57.89030116  79.2982138  -66.1650909
   77.33550561 -33.43488459  40.92374987 -47.80349472  57.42030716
  -87.40194099 -98.15918493 -20.14840645  77.86730448  87.76802031]]",1.0,0.0
390.0,"[[-10.67799383 -37.19273239  -1.22559687 -45.66968932  69.513592
   96.81820401  69.78498368  32.86133804  52.0983521   26.8336014
  -32.14544711 -68.16910073 -41.57174158 -29.63975248  90.58255428
  -68.74772152 -80.43512138 -58.79658279  54.55784868  28.33103633
  -86.12815458  65.29267777 -31.49684727  -5.66325703 -60.26818391
   86.33643596 -82.01614668  65.35739387  -9.25683183  96.75220607
  -55.62909872  85.72876478  21.89899109  33.13098747   6.26543746
   67.0455472   11.61438724  97.84232907  50.72262896 -44.58118008
  -11.35076515 -39.44990634  78.73072365 -80.13478318 -68.072028
   43.61098592  71.87640613  99.39841217  40.23215719 -73.0261547 ]]",1.0,0.0
390.0,"[[-64.19668672  57.14666689  70.44127379 -69.45846514  23.86034639
   87.10651213 -52.56113177  51.03136214  31.82926516 -33.20808338
   61.92764423 -44.44217475   6.57564543  49.30339466  46.63947476
  -82.23709705  10.36740455  24.4130273  -66.55963147 -10.13791369
   24.58636578  -1.2282135    2.66263904  38.39716324  20.98459215
  -20.31315896 -27.60304926 -52.42020545  90.10403683 -78.47953143
   94.7393127  -10.06845724   4.79569653  58.08466872  36.91516183
   70.39989825  45.44045713 -36.59366369 -24.99387385 -44.07327848
   -3.10381296 -94.46583214  64.39486771 -59.50951773 -54.21810921
   66.43166657  51.89118609 -50.52589673  31.78548194  19.2123959 ]]",1.0,0.0
390.0,"[[-99.69286914 -35.39512466 -28.44753118  33.85232927 -92.14563909
   42.51031766  53.31188966  45.13016298 -35.59831562  22.96142705
  -67.20043122 -96.25466276 -45.45567022   2.10214835 -67.66964422
  -97.14481743  58.21733467  -1.16361822 -11.0497603  -56.0982108
  -72.60837734  16.51150033  33.44885983  20.35171988 -45.02801318
   42.24551082  25.43541166  49.70555513  81.72893558 -34.7989381
   92.92102289 -61.85138284 -52.55263484 -45.43413889 -18.25886516
   13.90027353  35.22038737 -19.06651834  79.55165142   8.26995386
   20.22537413  -4.54205754  70.88205611  30.08532971  96.07516308
   95.95523804  32.11827537  -3.88644103  79.71451606 -67.50022236]]",1.0,0.0
390.0,"[[ 71.40419461  31.55747649 -66.67650349  95.76625111 -10.88468157
  -49.89733017 -40.96942106 -96.90677313 -94.34635074  46.57731585
  -52.83334619 -33.97223413 -58.82125785  69.07364222 -43.38201279
  -30.00206148  90.24218987 -75.22813982  25.65882801 -91.86149723
    8.63307579 -65.97781977  11.25619547  12.1808386   47.98188508
   46.00766342  69.12477242   5.8110366  -81.11905463 -85.17149459
    3.60087372 -94.46014737 -14.79253342  97.65473764  87.18806435
  -22.65937916 -89.31028539  -3.67772878  37.51086221 -15.57220539
   97.39899375 -16.09465753  11.7227687   91.69388614 -48.56810901
  -10.94709294 -32.27442433 -78.25174994 -86.7385079   68.18250102]]",1.0,0.0
390.0,"[[-63.10578356   1.08758478 -74.2232533   18.06027513 -60.09777115
   88.1338356  -50.10240093  86.7911984   86.44351948   2.20513377
   65.88982818  86.93418728 -91.74271512 -15.62955541  96.79255965
   71.03424509   8.45858105 -43.06505149  18.52562832 -24.11651358
   16.27550414  -5.76736433  55.61763771 -59.66327766  27.67684629
   -7.98772782  93.16970549  30.94228617  23.52441907 -63.5843948
  -53.61101122  88.22383482 -68.43444643 -72.06449259 -31.37207014
   -4.96710427 -36.10516412  -8.90631395   5.9699819   45.25160478
   17.66053035  97.29712962 -48.48593552  51.67253091 -98.86525608
   11.68413248 -80.54097283  49.84364042  17.5599779   58.28420602]]",1.0,0.0
390.0,"[[-77.9078033   -5.07254621  65.96349838  -0.55829866 -13.76303138
   74.5367715  -59.61063035 -18.03632991 -69.58242459  25.35801223
   46.75651347 -68.04053466   4.67476545  16.10203111  91.06087794
  -73.89365725  -5.4607024  -85.9254086   34.43666991 -45.05836893
  -89.25457186  71.91329676  25.94989609 -64.09729886  65.34917334
   39.09884825 -37.5648309   13.57643971 -55.2544577  -62.03751858
   70.1018282  -49.61423756  57.89506766  -7.86488435 -12.9237102
  -84.86304129  28.17797848  69.9390136   82.9760414   33.16798663
  -58.00075681 -28.22204706 -64.95619967 -87.85214092 -55.06517484
   70.76961275  67.9038996  -35.33612527  10.70581436  49.51051599]]",1.0,0.0
390.0,"[[-18.13371923 -28.3262594  -52.49357205 -23.02247276  72.61055558
  -44.20859132  89.86242529  74.67710823 -74.39353188  30.76334193
   90.1559827  -97.92232513 -71.86163654  94.18275786  41.32676101
  -61.47107697 -76.28204042 -18.57794311   0.70778657  76.42777179
  -63.94201568 -74.66015563 -97.74210481 -66.070045   -98.65204011
   56.51602633  81.72477795 -11.55037005 -96.26092051  38.67834108
  -45.07175517  11.73543902   4.10436231 -29.08005699   1.79874735
   97.92161995  -4.32674341 -85.64348255  64.81313045  -2.5765279
  -95.8988516   86.8081055  -74.08508907 -44.02742397  26.95564337
   62.33711662  82.29506498  43.03457979   1.89299166 -93.1899251 ]]",1.0,0.0
