Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
36248345.20132378,"[[ 14.24421011  13.22133322  -5.81003354 -11.99282321   2.72879731
    8.65887275  24.27639046 -50.82632305 -34.22996325  16.63670425
   -3.21017231  25.89639421 -23.54847509 -45.94732587 -11.49983635
   -2.20785162 -10.5879289  -55.49050938  38.47752549  41.41949304
  -13.19587435   8.99965814 -18.1370846   24.24630265 -49.51388009
   14.74065728   6.31909673  -2.76234794  42.59422042  20.98831176
   15.4770174   -6.0821358  -24.71199808  -4.52830315 -33.84322288
  -45.37507078 -15.66951605  -8.37848108  -1.8780569  -41.95438576
   37.28760102   4.32400966   8.25244281 -67.23178223 -65.27715093
   10.45477103 -19.1436701   -6.82320825  -8.10794176  29.67385535]]",0.04675002291917278,0.9532499770808271
23012068.870812386,"[[-10.35335089  17.36591951   4.95252975  -3.71914133  33.75356465
   42.4768678   71.88262662 -25.91323804 -18.26833305  44.89112845
  -35.7856033  -51.66428658  32.85129235 -44.65474877  30.36053974
   41.22355282 -56.57859357 -64.21756722 -45.90309337 -60.65774154
  -55.98749309  41.67774274 -43.87097501 -21.78353478  70.80131352
   40.36162418  18.94380824  39.69620082  14.6242795   48.69839466
   -1.94626205  -8.79998438  11.00068723 -34.4753973   46.2576016
   -9.30033226  63.29732128   8.23240446   3.64026251  -1.68595773
   27.85070871 -34.82075037 -74.39879156 -74.71092065 -69.08662406
   31.07405188 -12.98245348  35.5566006   -6.56660463  -7.42229833]]",0.07134421179470235,0.9286557882052978
36423526.96497722,"[[ 43.15208403  -6.88656543  20.92283926 -24.94556161 -31.61710769
  -39.26605144   2.38534506 -23.35366439 -35.87111562  34.13010904
   23.93463357  22.30906601   1.87597484   0.32734568  26.07754238
  -22.23187525  28.03646287 -71.24751455 -29.16608491  58.64732306
   46.6171276   15.28455122   1.12456213  41.02763535 -14.86965346
   29.68047938  41.21652025  59.46142397 -24.61553531 -10.95370632
   32.24764496  42.49013551   4.58189125 -10.06856008  -3.34832003
  -14.59527999 -26.34993439 -15.21823719   5.20475297  35.47124958
   43.88696911  15.58357013 -41.96445012 -72.00322388 -50.56553284
   47.88123002  46.24413116   1.43456996  30.92740228  15.33496838]]",0.0950275442781662,0.9049724557218337
51062866.04909131,"[[ 54.09247619  -2.6582145   31.5275014    0.29434412   5.5544787
  -38.44736937   6.88167854 -37.60822118  30.75275702 -27.46429957
   67.36944208   6.49993478  59.06283912  23.83824697  -6.40011065
   39.47400785 -43.20721085  -4.36219221 -44.558794    67.42978518
    0.72570536  46.9263538    9.19114375 -89.03175939  -0.35647193
  -20.56477928 -16.77953314 -58.36260613   2.7072005   37.33712462
   12.86135583 -67.09989416 -65.38315572  -3.65266952  30.56735796
  -15.01610388   7.89792206   3.80442253 -25.49906714   5.11873365
   17.47013297   4.17525401 -51.43137248 -62.28706655 -57.85477514
    1.16792569   8.09557077   4.50982029  25.73973451  16.87299359]]",0.04889551022751368,0.9511044897724862
33775629.889833234,"[[-49.64077292  25.36811972 -23.27082239   9.32172514 -42.0193106
   12.89700068  20.58035385 -25.310488     7.8326258   -8.49165451
   19.03526232   8.96246597 -60.96535908  -7.52680214  28.45380284
   22.86537394  11.60810493 -30.21375834  34.7316442   38.5226776
   10.05875206 -45.10988488  24.66883385  40.38830936  15.48775148
   52.59361793  17.82970168   5.4185082  -11.49538259  11.60637513
   29.85195331   2.71777926  43.56837906 -25.32016152   2.1068726
   -1.82228409 -16.30991574 -48.96938212 -30.99335896 -18.79969218
   40.09349394  26.07025658   7.27594715 -65.27183679 -61.3402164
   28.21346958  16.3528687  -22.28601665 -27.63169265   8.79564371]]",0.054723895757326446,0.9452761042426734
34598192.16611968,"[[-51.92890792  33.04282198 -66.84292343 -36.01931691   0.14514702
   56.73539977  13.89941644  -3.23372227  23.4278649   15.74466599
   23.41116692  42.82276046  12.90539221  26.36900677  43.63488279
  -14.36020351 -15.30990601 -17.78131764 -15.80724919 -62.86182756
  -10.96461834  49.48218761 -18.14474617 -28.90364848  74.33627986
   10.47227174 -13.60531558  12.77600215 -22.83528422  72.38592588
  -28.96399585 -35.47295643 -46.14071811 -36.84734585  -0.41043644
   11.21017861  82.33386288   6.66424132  10.29900275  -5.94633087
   26.83787788 -22.06335642 -59.38851433 -67.98352138 -44.17006121
   45.53883868  11.40156868  11.5921006    1.17576326 -22.75761372]]",0.0725569644671342,0.9274430355328657
26070286.14882204,"[[ 41.97951486 -20.72663709 -26.19264308  31.61356634 -48.82044439
   -2.36459694  41.25543047 -55.20530923  31.73609335 -15.69548516
   -9.79348896  34.19490088  -8.33514386  65.37990953 -17.37932436
   52.69064124 -16.17575577 -33.00350655 -45.82930867  15.59550408
   27.58114004 -27.18086773 -33.18760947  20.51814456   7.55481393
   12.81715643  14.66722974  -5.74744635  51.95659216  32.95055051
  -30.47622473 -12.06772404  33.45356957   6.23341161 -28.09702731
   -7.78852366  -4.76639449  37.07280107 -23.79983894  51.71030686
   52.75320689 -36.25432446 -39.28165887 -65.18592814 -58.57067896
   45.07901924 -46.81754726  34.86950472 -14.12686548 -47.09954905]]",0.08133693366414278,0.9186630663358573
51432795.64740806,"[[ 17.72941319 -62.55915283  22.64111874 -52.21575759  15.57018498
   -5.12417361  37.7069353   45.69283166  36.98737537  58.62521558
  -15.46183121 -17.65597737 -47.83799819 -21.57732697  28.56928117
  -35.03256847  27.69215482 -12.32898103  -6.47670047 -13.46178645
  -40.96779526  20.97211259 -30.94997479  54.77947246 -18.1444402
    8.24637454  49.73952634 -14.52839056 -10.83154081 -10.00180015
  -20.43443518  15.17427872 -23.13353623  65.59395534   1.54793014
    0.09714849 -31.46080011   4.42557622   7.24454255 -34.79787161
    9.53423603  30.89625318 -18.7747971  -57.49560287 -58.33232608
   26.46464642  11.12592685 -24.06269053 -23.91829407  -3.52375274]]",0.05788399736838956,0.9421160026316103
28526571.77670303,"[[ 68.32193829  44.14372074 -40.10890633  42.13403553  -7.57622017
   34.28490098 -20.65857631  51.30232239   8.24505454 -45.99835133
  -29.00642908 -21.50411171  47.9737858   47.20232219  -5.48049726
  -29.31861549 -23.60263717 -46.88667997  43.98195144 -14.31336845
   -1.58406598 -36.72268153  45.22959116 -37.25637957  14.48505972
   -8.19378221 -30.31876487 -51.73148715  26.5625094  -64.31493362
    2.40186882  52.2792814  -24.28438097  28.89636732  21.18245215
   25.43314311  27.41965279  17.42498997 -15.20485433  25.74639388
   27.30564921 -52.97239422 -13.9722572  -67.35322858 -54.25941141
   30.06668151 -16.92193375 -27.51265316  -8.00324545 -22.54770969]]",0.09435956768367529,0.9056404323163249
43896873.18572837,"[[ 27.28019846 -24.86006459   1.06841847  36.40752898  84.9393111
  -71.63307441 -60.05244331  59.25731681  44.99802346  52.0548506
  -81.96192814  -3.00806972  30.00923538  55.99806244 -19.37980351
    4.90344891 -19.93644433 -47.57229885 -35.20027469  10.02341783
  -23.6271928   -6.14255075  28.72356339  33.81020795 -34.9470108
  -77.45556264 -39.30127978 -64.61768289  -0.42205773 -50.32831963
  -16.89675923 -53.76248979 -62.27834476  18.38300655 -32.94101294
  -33.82782487 -11.14496398  24.30155206  19.86018751 -20.97133521
   37.7425088   57.02918816 -22.58459178 -54.14819199 -72.10097596
   49.61486867 -25.94926655  -2.61658626   9.19540224 -40.08270511]]",0.1289347871263134,0.8710652128736865
