Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
3.2856364197145944e+19,"[[ 2.09912119  4.53943788  3.57626305 -2.19248987 -3.19736233 -1.08447904
   1.74163794 -1.32735956  4.73299918 -1.72948381  1.78673233 -3.78295352
   1.75500873  1.41049226  3.94382343  1.36230182  1.50130928 -1.73071886
  -0.87549898  3.81965915  2.47087101 -2.66982707 -2.29289741  4.15563874
  -2.74117496  3.23344772  3.80753145  0.00607698 -3.46044296 -4.15238106
  -1.50739892 -0.74932943  1.79475328 -3.53359259 -2.14082377  2.28033089
  -0.17155259 -1.29087171 -1.72312426 -2.7854129  -2.53957403  2.92780086
  -1.82645262  1.12480358 -0.63797798 -1.95553673 -0.41133887  2.35018466
  -0.44437897 -2.6313931 ]]",0.6236057274863986,0.3763942725136014
3.9143909520774094e+21,"[[ 2.73142861 -2.05986737  0.53656693  3.77130272 -1.21936592 -2.85210467
   1.97271627 -0.48823376 -2.41461857  0.46384025 -3.07621473  1.27821377
  -2.58750609  1.34897917 -1.72374623 -3.17198249 -2.00859605 -2.26826331
   1.65389469  1.10315339 -2.29075419 -2.65371808 -0.9988356  -1.49558777
  -1.69476695 -4.08786678 -2.07564065  0.19578657 -1.53924765  4.35617298
   2.51754045  4.32027416 -1.69065316 -0.37722925 -4.37206128 -1.1940615
  -4.20287016 -0.97984104  0.66263277  0.33137016  2.0482356  -0.24567217
   2.82375389 -1.05258245  2.82357047 -2.13655523 -1.25477082 -2.26229144
   2.6526315  -2.3820435 ]]",0.9330032251515713,0.06699677484842854
1.4940927660133192e+18,"[[-3.3234943  -1.82692072  0.8331435  -0.62073653 -3.39232014 -2.6553732
   4.07370622 -0.02603479 -1.36931345  2.04335252 -3.40822361  1.2353703
   4.33506846 -0.01788164 -1.50614191 -3.43811054 -0.56667545 -3.64767516
  -3.3696069   2.15713935  4.22118709  0.68854836 -2.41403488 -0.43220164
  -2.7141867   4.91120774 -2.96182119 -2.05242561 -2.3297062   4.06156135
  -4.09468761  2.01423814 -2.75337757 -1.15359455 -1.52795556 -2.44142741
   3.04753487 -2.26966954  2.69496865 -2.88323177  1.02580472 -2.28085387
   0.73180676 -0.72835708  1.12020825 -1.32423916  0.92203004 -0.78846422
   2.09888082  0.11032757]]",0.6931270554202288,0.306872944579771
1.2184603439143559e+20,"[[ 2.45840079  2.75191483 -2.79883629  0.1642704  -1.34156268 -3.18570544
   4.04904195 -0.02403671  0.45474607  0.8553243  -1.65267168 -0.70719698
  -0.1719439  -4.90172698  2.02572441 -1.13563964  2.67255494 -3.93806783
   1.03879472  0.26966597 -3.69460797  2.66283638 -2.00868613  0.95837734
   3.48185094  0.82381415  0.57588187  3.55566439  1.34865665 -3.89725822
   2.57600654 -1.06627787  2.83766117  3.19525683 -2.34039924  2.25137118
   3.80839722  3.52387881 -3.88178492 -2.82873324 -0.45107905 -2.67141559
  -0.19211137  0.84995383 -1.68707394 -0.9132309   2.32271587  1.5730193
  -1.91298036 -0.43407582]]",0.7280980927779679,0.27190190722203217
3.756151648805304e+19,"[[ 2.85292776 -3.93788802 -1.32083486  2.75311189  0.84863309  0.233017
   2.22156865  1.92237589 -2.6892687   3.74709852 -2.74201622 -1.04769116
   2.94411045 -4.43252084  3.38494169 -4.47957019 -2.4665228  -0.31534691
  -2.84453428 -4.74642797  0.64669218  3.87981277  4.41125509  1.56126063
   4.14023679  0.43164569 -3.32278461 -2.81065709 -3.91162431 -0.94435553
  -1.75313661  0.57332641  2.1509878   1.15732963 -1.20331526  2.25775812
   0.16334973 -0.10993971  2.08262845 -0.54505312  2.86670143  2.80192305
   1.20610538 -2.97900492  0.96473136 -0.85271887 -2.13553646 -0.05989029
  -2.07039027  0.35562134]]",0.6378707080997157,0.3621292919002843
1.78170903730887e+20,"[[ 0.89835489  3.38197548  2.79206872 -3.0088389   1.81336528  3.40273816
   3.28727422 -3.41709567  4.0772609   4.20148397 -1.38500223  4.56606334
  -1.14906299 -2.69911167 -1.48753248 -2.64534008 -1.47655775 -3.42276851
   3.43896611 -1.92930689 -2.63911198 -1.90612881 -3.38733799 -4.51229622
   3.52694845 -1.9345408   0.01909331  0.09971615 -3.8592769   3.64992794
   1.34359468  3.78753353  0.72073822 -1.52935369  3.6822324  -2.85137011
  -3.03103241 -0.98333746 -1.34478813 -3.5290433   3.10590679  2.12279016
  -0.43754464  2.16908632  1.01365888 -0.45944989  1.63194041 -2.64105018
   0.38682537  0.52038253]]",0.7076810884006701,0.2923189115993298
1.4524574555090657e+19,"[[ 0.24366172  4.79712142 -0.86102645 -2.03393386 -2.02696752  2.23109766
   4.00699477 -1.0324824   1.511931    0.99610465  3.11345187 -1.2690456
  -2.68729781  0.39296946 -1.63160107  3.02346589 -2.19819385 -2.15604061
  -2.73194888  4.56608389  2.39319255 -3.1479876  -1.63354523 -1.9345195
  -0.68815144 -2.87478744 -2.58247543  3.3026402   2.59763244  3.74747376
   3.09852852 -3.49816934  1.03423714 -0.89492057  1.3782201  -0.87110933
  -2.25387824  3.27889063 -2.60132677 -3.20007172 -2.22104123  2.84482527
  -1.88251346 -2.61156534 -2.03698168 -1.29143777 -1.88188976  1.4027031
   1.56448602  0.53583679]]",0.6401369397554714,0.35986306024452863
6.494583950659343e+20,"[[ 3.84419934 -3.79523211 -1.60747704 -2.86723028  1.87292796  1.86077111
  -3.03613251 -2.84370987 -2.76170102 -2.71173626  0.21762952 -1.30178008
   0.08381515 -2.5057134  -1.95134794 -2.72858125 -1.56135481 -1.30868609
  -2.72317421 -2.33815649 -0.28748235  2.91988011 -1.93405002 -3.62181018
  -2.92898016  3.86482602  3.90017381  1.05718739 -1.68173206  2.84114864
  -3.16208838  3.83528452  3.83137723  1.68548782 -0.85954332  0.35583997
  -2.6406983   3.54791368  2.00627046 -0.39939498 -0.29657925 -2.66786557
  -2.17623767  0.60441474 -0.57712021  2.85416367  1.79962393  2.90791121
  -2.09371903  2.08795491]]",0.9099148471869036,0.09008515281309623
1.6965852967944942e+20,"[[ 0.10747976 -0.66106585 -0.19834631  1.81801242  1.54033243 -0.05135787
  -0.72311924 -3.50628619 -3.266893   -3.17098282 -0.83801351 -1.4275852
  -3.16828975 -3.97557394 -3.1535521   3.91523407 -0.95277015 -2.66566358
  -2.14367848 -3.82866072 -0.80856905  2.9833652  -2.58816501 -3.51605352
   0.04893746 -3.52949155  4.85743769  4.49305984 -2.57854014  2.31136219
   0.66074481  2.61559692  2.68584693 -3.81403707 -4.02325471  2.39274916
  -2.85101555 -2.01868421  0.98911802  2.09402582  1.85687322 -1.26955921
  -2.5679304   2.64426464 -2.02899667 -2.60768543 -0.62690877  2.52864391
  -1.3443989   1.11199854]]",0.5410368942958497,0.45896310570415033
6.153678695751095e+16,"[[-2.89241974  0.83212223 -1.01945014 -1.76090948  0.8095669   4.70715753
   2.04891519 -1.24583387 -2.33470208 -0.96969125 -2.00037321  3.68953023
  -1.87437338  1.40786257  3.23246891 -1.89695003  0.65824191  0.19217888
   2.58628802 -3.66657897 -2.10969293  4.16165458  2.51300827  3.68659565
  -0.99683342  1.5750348   0.72267289  2.28808125 -4.02734816  1.22429963
  -3.47572225 -2.62875503  0.5544301   1.98262107  0.87502144 -0.98710755
  -1.72872028  2.10319354 -0.92394279 -1.29022271  1.29115997  0.86291463
   2.4892652  -2.06953059  0.01734707  0.74062696  0.74309217 -0.45821346
  -1.55723849 -0.53324485]]",0.7991836457449902,0.20081635425500977
